,,"PRE-FORECLOSURE LAYOUT
TECHNICAL DETAILS","Version
4",
22,PropertyAddressInfoPrivacy,"No further details","See Codes Tab ",1
23,PropertyLatitude,"No further details",,12
24,PropertyLongitude,"No further details",,12
25,GeoQuality,"No further details","See Codes Tab ",20
26,ZonedCodeLocal,"No further details",,50
27,PropertyUseMuni,"No further details",,10
28,PropertyUseGroup,"No further details",,50
29,PropertyUseStandardized,"No further details","See Codes Tab ",4
30,BathCount,"No further details",,5
31,BedroomsCount,"No further details",,4
32,AreaBuilding,"No further details",,4
33,AreaBuildingDefinitionCode,"No further details","See Codes Tab ",2
34,AreaLotSF,"No further details",,9
35,AreaLotAcres,"No further details",,9
36,YearBuilt,"Year Built from the Assessor.  Often, it is the first sale date from builder to buyer, instead of actual completion date.",,4
37,YearBuiltEffective,"No further details",,2
38,OriginalLoanRecordingDate,"No further details",,3
39,OriginalLoanInstrumentNumber,"No further details",,50
40,OriginalLoanBookPage,"No further details",,15
41,BorrowerNameOwner,"No further details",,100
42,OriginalLoanLoanNumber,"No further details",,25
43,OriginalLoanAmount,"No further details",,5
44,OriginalLoanInterestRate,"No further details",,"5,2"
45,LoanMaturityDate,"No further details",,3
46,LenderNameFullStandardized,"No further details",,250
47,LenderAddress,"No further details",,100
48,LenderAddressHouseNumber,"No further details",,25
49,LenderAddressStreetDirection,"No further details",,10
50,LenderAddressStreetName,"No further details",,100
51,LenderAddressStreetSuffix,"No further details",,10
52,LenderAddressStreetPostDirection,"No further details",,25
53,LenderAddressUnitValue,"No further details",,25
54,LenderAddressCity,"No further details",,50
55,LenderAddressState,"No further details",,2
56,LenderAddressZIP,"No further details",,10
57,LenderPhone,"No further details",,15
58,ServicerName,"No further details",,100
59,ServicerAddress,"No further details",,100
60,ServicerCity,"No further details",,50
61,ServicerState,"No further details",,2
62,ServicerZip,"No further details",,10
63,ServicerPhone,"No further details",,25
64,TrusteeName,"No further details",,150
65,TrusteeAddress,"No further details",,100
66,TrusteeAddressHouseNumber,"No further details",,25
67,TrusteeAddressStreetDirection,"No further details",,10
68,TrusteeAddressStreetName,"No further details",,100
69,TrusteeAddressStreetSuffix,"No further details",,10
70,TrusteeAddressStreetPostDirection,"No further details",,25
71,TrusteeAddressUnitValue,"No further details",,25
72,TrusteeAddressCity,"No further details",,50
73,TrusteeAddressState,"No further details",,2
74,TrusteeAddressZIP,"No further details",,10
75,TrusteePhone,"No further details",,20
76,ForeclosureInstrumentDate,"No further details",,3
77,ForeclosureRecordingDate,"No further details",,3
78,ForeclosureInstrumentNumber,"No further details",,50
79,ForeclosureBookPage,"No further details",,50
80,CaseNumber,"No further details",,25
81,TrusteeReferenceNumber,"No further details",,20
82,Payment,"No further details",,5
83,DefaultAmount,"This amount may include:
- the sum of missed payments, or
- the sum of missed payments + penalties/fees, or
- the original loan amount (because the lender interprets that the entire loan is now in default)
- the original loan amount + penalties/fees.
… other amounts may display.
",,5
84,PenaltyInterest,"No further details",,5
85,LoanBalance,"No further details",,5
86,JudgmentDate,"No further details",,3
87,JudgmentAmount,"No further details",,5
88,Courthouse,"No further details",,50
89,AuctionAddress,"No further details",,300
90,AuctionHouseNumber,"No further details",,10
91,AuctionDirection,"No further details",,2
92,AuctionStreetName,"No further details",,75
93,AuctionSuffix,"No further details",,10
94,AuctionPostDirection,"No further details",,2
95,AuctionUnit,"No further details",,6
96,AuctionCity,"No further details",,50
97,AuctionDate,"No further details",,3
98,AuctionTime,"No further details",,20
99,RecordedAuctionOpeningBid,"Typically a legally mandated percentage of the outstandinbg principle balance of the foreclosed loan.",,5
100,EstimatedValue,"No further details",,5
101,CreateDate,"Example: Document recorded on 3/1/2017.
ATTOM Data loads the record on 3/10/2017 = CREATE DATE
ATTOM Data sends to customer on 3/11/2017 = PUBLICATION DATE
ATTOM Data makes a correction on 4/5/2017 = RECORD LAST UPDATED
ATTOM Data re-sends to customer on 4/6/2017 = PUBLICATION DATE - on second delivery",,3
102,RecordLastUpdated,,,3
103,PublicationDate,,,3
