52,LenderAddressStreetPostDirection,"100 Center NW Pl., 4a - Lender's Site address post-directional.",varchar,25,"11/2017 - Description updated"
53,LenderAddressUnitValue,"100 Center NW Pl., 4a - Lender's Site address unit number.",varchar,25,"11/2017 - Description updated"
54,LenderAddressCity,"Anytown CA 90001-0001 - Lender's Site address city name.",varchar,50,"11/2017 - Description updated"
55,LenderAddressState,"Anytown CA 90001-0001 - Lender's Site address state.",varchar,2,"11/2017 - Description updated"
56,LenderAddressZIP,"Anytown CA 90001-0001 - Lender's Site address Zip Code.",varchar,10,"11/2017 - Description updated"
57,LenderPhone,"Phone number of the lender.",varchar,15,.
58,ServicerName,"Name of the entity providing servicing for the loan.",varchar,100,.
59,ServicerAddress,"Address of the entity providing servicing for the loan.",varchar,100,.
60,ServicerCity,"City of the entity providing servicing for the loan.",varchar,50,.
61,ServicerState,"State of the entity providing servicing for the loan.",varchar,2,.
62,ServicerZip,"Zip code of the entity providing servicing for the loan.",varchar,10,.
63,ServicerPhone,"Phone number of the entity providing servicing for the loan.",varchar,25,.
64,TrusteeName,"Trustee or attorney handling the foreclosure event.",varchar,150,.
65,TrusteeAddress,"123 1/2 N Main St  - Trustee's Full address line.",varchar,100,"11/2017 - Description updated"
66,TrusteeAddressHouseNumber,"123 1/2 N Main St  - Trustee's address house number and fraction.",varchar,25,"11/2017 - Description updated"
67,TrusteeAddressStreetDirection,"123 1/2 N Main St  - Trustee's address pre directional.",varchar,10,"11/2017 - Description updated"
68,TrusteeAddressStreetName,"123 1/2 N Main St  - Trustee's address street name.",varchar,100,"11/2017 - Description updated"
69,TrusteeAddressStreetSuffix,"123 1/2 N Main St  - Trustee's address street name suffix.",varchar,10,"11/2017 - Description updated"
70,TrusteeAddressStreetPostDirection,"100 Center NW Pl., 4a - Trustee's address post-directional.",varchar,25,"11/2017 - Description updated"
71,TrusteeAddressUnitValue,"100 Center NW Pl., 4a - Trustee's address unit number.",varchar,25,"11/2017 - Description updated"
72,TrusteeAddressCity,"Anytown CA 90001-0001 - Trustee's address city name.",varchar,50,"11/2017 - Description updated"
73,TrusteeAddressState,"Anytown CA 90001-0001 - Trustee's address state.",varchar,2,"11/2017 - Description updated"
74,TrusteeAddressZIP,"Anytown CA 90001-0001 - Trustee's address Zip Code.",varchar,10,"11/2017 - Description updated"
75,TrusteePhone,"Trustee's phone number.",varchar,20,"11/2017 - Description updated"
76,ForeclosureInstrumentDate,"Creation / Signature date on the instrument. Format YYYY-MM-DD.
Not to be confused with the recording date.",date,10,"11/2017 - Description updated"
77,ForeclosureRecordingDate,"Date on which the instrument was officially recorded at the county. Format YYYY-MM-DD.",date,10,"11/2017 - Description updated"
78,ForeclosureInstrumentNumber,"Document number on the instrument.",varchar,50,"11/2017 - Description updated"
79,ForeclosureBookPage,"Book and page on the instrument.",varchar,50,"11/2017 - Description updated"
80,CaseNumber,"A unique identifier established by the court in a judicial foreclosure proceeding. It is important to note that this is not a document level identifier, rather it is case level. A case consists of many documents. Thus, to match future documents regarding a case, for example, associating a release or dismissal of the foreclosure complaint, the case number must be matched.",varchar,25,.
81,TrusteeReferenceNumber,"Unique number assigned by the trustee to track status of foreclosure and auction proceedings.",varchar,20,.
82,Payment,"Regular monthly payment from related mortgage document","numeric(15, 2)",15,"11/2017 - Description updated"
83,DefaultAmount,"Default amount noted on the instrument. ","numeric(15, 2)",15,.
84,PenaltyInterest,"Amount of penalty interest accrued.","numeric(15, 2)",15,.
85,LoanBalance,"Remaining balance on defaulted loan.","numeric(15, 2)",15,.
86,JudgmentDate,"Date of final judgment if a lis pendens case in YYYY-MM-DD format.",date,10,.
87,JudgmentAmount,"Amount of final judgment, including fees and interest.","numeric(19, 4)",19,.
88,Courthouse,"Name or description of courthouse hosting the public auction.",varchar,50,.
89,AuctionAddress,"Full unparsed address where the foreclosure auction is to be held.",varchar,300,.
90,AuctionHouseNumber,"The house number and fraction of the location of the foreclosure auction.",varchar,10,.
91,AuctionDirection,"The pre directional of the location of the foreclosure auction.",varchar,2,.
92,AuctionStreetName,"The street name  of the location of the foreclosure auction.               ",varchar,75,.
93,AuctionSuffix,"The street name suffix of the location of the foreclosure auction.      ",varchar,10,.
94,AuctionPostDirection,"The post-directional of the location of the foreclosure auction.",varchar,2,.
95,AuctionUnit,"The unit number of the location of the foreclosure auction.",varchar,6,.
96,AuctionCity,"The city name of the location of the foreclosure auction.",varchar,50,.
97,AuctionDate,"Date of the foreclosure auction in YYYY-MM-DD format.",date,10,.
98,AuctionTime,"The start time of the foreclosure auction.",varchar,20,.
99,RecordedAuctionOpeningBid,"Anticipated Opening Bid at the scheduled auction","numeric(15, 2)",15,"11/2017 - Description updated"
100,EstimatedValue,"Estimated value based on ATTOMData's Valuation Model as of the CreateDate below.","numeric(15, 2)",15,"11/2017 - Description updated"
101,CreateDate,"Date the record was first created in YYYY-MM-DD format.",date,10,.
102,RecordLastUpdated,"The last update date for the record in YYYY-MM-DD format.",date,10,.
103,PublicationDate,"The date on which the client's data file was extracted and delivered.
Not to be associated with a county's publication,fiilng, or posted date.",date,10,.
,Total,"Total Record Layout Length",,3360,
