,,"Tax Assessor Layout - Technical Details","Version
16",
162,DeedLastDocumentNumber,"Contains the LAST ARMS-LENGTH DOCUMENT NUMBER",,25
163,DeedLastSaleDate,"Contains the LAST ARMS-LENGTH DOCUMENT SALE DATE",,4
164,DeedLastSalePrice,"Contains the LAST ARMS-LENGTH DOCUMENT SALE PRICE",,4
165,DeedLastSaleTransactionID,"Contains the LAST ARMS-LENGTH DOCUMENT TRANSACION ID",,4
166,AreaBuilding,"No further details",,4
167,AreaBuildingDefinitionCode,"No further details",,2
168,AreaGross,"No further details",,4
169,Area1stFloor,"No further details",,4
170,Area2ndFloor,"No further details",,4
171,AreaUpperFloors,"No further details",,4
172,AreaLotAcres,"No further details",,9
173,AreaLotSF,"No further details",,9
174,AreaLotDepth,"No further details",,4
175,AreaLotWidth,"No further details",,4
176,RoomsAtticArea,"No further details",,4
177,RoomsAtticFlag,"No further details",,2
178,RoomsBasementArea,"No further details",,4
179,RoomsBasementAreaFinished,"No further details",,4
180,RoomsBasementAreaUnfinished,"No further details",,4
181,ParkingGarage,"No further details",,3
182,ParkingGarageArea,"No further details",,4
183,ParkingCarport,"0 = No
1 = Yes",,3
184,ParkingCarportArea,"No further details",,4
185,HVACCoolingDetail,"No further details",,3
186,HVACHeatingDetail,"No further details",,3
187,HVACHeatingFuel,"No further details",,3
188,UtilitiesSewageUsage,"No further details",,3
189,UtilitiesWaterSource,"No further details",,3
190,UtilitiesMobileHomeHookupFlag,"No further details",,2
191,Foundation,"No further details",,3
192,Construction,"No further details",,3
193,InteriorStructure,"No further details",,3
194,PlumbingFixturesCount,"No further details",,2
195,ConstructionFireResistanceClass,"No further details",,3
196,SafetyFireSprinklersFlag,"No further details",,2
197,FlooringMaterialPrimary,"No further details",,2
198,BathCount,"BathCount.. values may include any of the following:
     -   Bath count provided by the county / source with no altering.. thus 4 or 4.25 or 4.5
     -   Bath count derived from county / source thus 3 full plus 2 half = 5",,5
199,BathPartialCount,"BathPartialCount.. values represent a whole number for each room, regardless of the number of fixtures in that room… thus:
     -   one ¼ bath and
     -   two ½ baths would equal
     -   THREE total rooms… (one + two = THREE)
          (the fraction is not summed.  It is the ROOM COUNTER that is summed)",,4
200,BedroomsCount,"No further details",,4
201,RoomsCount,"No further details",,4
202,StoriesCount,"No further details",,2
203,UnitsCount,"No further details",,4
204,RoomsBonusRoomFlag,"No further details",,2
205,RoomsBreakfastNookFlag,"No further details",,2
206,RoomsCellarFlag,"No further details",,2
207,RoomsCellarWineFlag,"No further details",,2
208,RoomsExerciseFlag,"No further details",,2
209,RoomsFamilyCode,"No further details",,4
210,RoomsGameFlag,"No further details",,2
211,RoomsGreatFlag,"No further details",,2
212,RoomsHobbyFlag,"No further details",,2
213,RoomsLaundryFlag,"No further details",,2
214,RoomsMediaFlag,"No further details",,2
215,RoomsMudFlag,"No further details",,2
216,RoomsOfficeArea,"No further details",,4
217,RoomsOfficeFlag,"No further details",,2
218,RoomsSafeRoomFlag,"No further details",,2
219,RoomsSittingFlag,"No further details",,2
220,RoomsStormShelter,"No further details",,2
221,RoomsStudyFlag,"No further details",,2
222,RoomsSunroomFlag,"No further details",,2
223,RoomsUtilityArea,"No further details",,4
224,RoomsUtilityCode,"No further details",,4
225,Fireplace,"No further details",,2
226,FireplaceCount,"No further details",,2
227,AccessabilityElevatorFlag,"No further details",,2
228,AccessabilityHandicapFlag,"No further details",,2
229,EscalatorFlag,"No further details",,2
230,CentralVacuumFlag,"No further details",,2
231,ContentIntercomFlag,"No further details",,2
232,ContentSoundSystemFlag,"No further details",,2
233,WetBarFlag,"No further details",,2
234,SecurityAlarmFlag,"No further details",,2
235,StructureStyle,"No further details",,2
236,Exterior1Code,"No further details",,3
237,RoofMaterial,"No further details",,3
238,RoofConstruction,"No further details",,3
239,ContentStormShutterFlag,"No further details",,2
240,ContentOverheadDoorFlag,"No further details",,2
241,ViewDescription,"No further details",,3
242,PorchCode,"No further details",,3
243,PorchArea,"No further details",,4
244,PatioArea,"No further details",,4
245,DeckFlag,"No further details",,2
246,DeckArea,"No further details",,4
247,FeatureBalconyFlag,"No further details",,2
248,BalconyArea,"No further details",,4
249,BreezewayFlag,"No further details",,2
250,ParkingRVParkingFlag,"No further details",,2
251,ParkingSpaceCount,"No further details",,2
252,DrivewayArea,"No further details",,4
253,DrivewayMaterial,"No further details",,2
254,Pool,"No further details",,2
255,PoolArea,"No further details",,4
256,ContentSaunaFlag,"No further details",,2
257,TopographyCode,"No further details",,2
258,FenceCode,"No further details",,2
259,FenceArea,"No further details",,4
260,CourtyardFlag,"No further details",,2
261,CourtyardArea,"No further details",,4
262,ArborPergolaFlag,"No further details",,2
263,SprinklersFlag,"No further details",,2
264,GolfCourseGreenFlag,"No further details",,2
265,TennisCourtFlag,"No further details",,2
266,SportsCourtFlag,"No further details",,2
267,ArenaFlag,"No further details",,1
268,WaterFeatureFlag,"No further details",,2
269,PondFlag,"No further details",,2
270,BoatLiftFlag,"No further details",,2
271,BuildingsCount,"No further details",,4
272,BathHouseArea,"No further details",,4
273,BathHouseFlag,"No further details",,2
274,BoatAccessFlag,"No further details",,2
275,BoatHouseArea,"No further details",,4
276,BoatHouseFlag,"No further details",,2
277,CabinArea,"No further details",,4
278,CabinFlag,"No further details",,2
279,CanopyArea,"No further details",,4
280,CanopyFlag,"No further details",,2
281,GazeboArea,"No further details",,4
282,GazeboFlag,"No further details",,2
283,GraineryArea,"No further details",,4
284,GraineryFlag,"No further details",,2
285,GreenHouseArea,"No further details",,4
286,GreenHouseFlag,"No further details",,2
287,GuestHouseArea,"No further details",,4
288,GuestHouseFlag,"No further details",,2
289,KennelArea,"No further details",,4
290,KennelFlag,"No further details",,2
291,LeanToArea,"No further details",,4
292,LeanToFlag,"No further details",,2
293,LoadingPlatformArea,"No further details",,4
294,LoadingPlatformFlag,"No further details",,2
295,MilkHouseArea,"No further details",,4
296,MilkHouseFlag,"No further details",,2
297,OutdoorKitchenFireplaceFlag,"No further details",,2
298,PoolHouseArea,"No further details",,4
299,PoolHouseFlag,"No further details",,2
300,PoultryHouseArea,"No further details",,4
301,PoultryHouseFlag,"No further details",,2
302,QuonsetArea,"No further details",,4
303,QuonsetFlag,"No further details",,2
304,ShedArea,"No further details",,4
305,ShedCode,"No further details",,4
306,SiloArea,"No further details",,4
307,SiloFlag,"No further details",,2
308,StableArea,"No further details",,4
309,StableFlag,"No further details",,2
310,StorageBuildingArea,"No further details",,4
311,StorageBuildingFlag,"No further details",,2
312,UtilityBuildingArea,"No further details",,4
313,UtilityBuildingFlag,"No further details",,2
314,PoleStructureArea,"No further details",,4
315,PoleStructureFlag,"No further details",,2
316,CommunityRecRoomFlag,"No further details",,2
317,PublicationDate,"No further details",,4
318,ParcelShellRecord,"Shell records are created in the assessor file when a recording for a new parcel is received.  The shell record is a place-holder in the assessor file to correspond / link to the recorded event.  
Due to assessor files being provided once per year, most recordings are provided for new parcels prior to the assessor providing the newer parcel in the assessor file.  Often times, the new record is not available until the following year.  In some cases, a county may take two or more years before providing the newer parcels in the assessor file.

Example:
11/1/2018 – Assessor Roll is released to all clients.
Parcel 100-100 is for a five acre lot.
1/5/2019 - ABC Builder acquires the property and splits the parcel into 10 separate parcels and begins to build these parcels.
6/1/2019 – ABC Builder has completed construction on these properties and begins to sell them… 
	These new properties will now have newer parcel numbers.. example:
		100-101
		100-102
		100-103.. etc.. 
	However, these newer parcel numbers are not yet part of the current assessor’s tax roll (which was released in 2018)
	It is at this point, when the recordings begin to come in, that the shell records in the assessor files, allowing end users to link the recorder data to an assessor record.",,2
,,,,5629
