"Loan Model Codes",,,
,,,
"Field #","Field Name",Code,Description
23,CurrentSecondPositionOpenLoanLenderInfoEntityClassification,n/a,"No Longer Supported"
24,CurrentSecondPositionOpenLoanInterestRateType,0,UNKNOWN
24,CurrentSecondPositionOpenLoanInterestRateType,1,"ADJUSTABLE RATE"
24,CurrentSecondPositionOpenLoanInterestRateType,2,"FIXED RATE"
26,CurrentSecondPositionMortgageType,3,"BUILDING OR CONSTRUCTION"
26,CurrentSecondPositionMortgageType,6,"LINE OF CREDIT"
26,CurrentSecondPositionMortgageType,8,FHA
26,CurrentSecondPositionMortgageType,10,CONVENTIONAL
26,CurrentSecondPositionMortgageType,11,"CONVENTIONAL WITH PMI"
26,CurrentSecondPositionMortgageType,16,"VETERANS ADMINISTRATION"
26,CurrentSecondPositionMortgageType,101,"USDA - US DEPT OF AGRICULTURE"
26,CurrentSecondPositionMortgageType,102,"FARMERS HOME ADMINISTRATION"
26,CurrentSecondPositionMortgageType,103,COMMERCIAL
26,CurrentSecondPositionMortgageType,104,"STATE VETERANS"
26,CurrentSecondPositionMortgageType,105,"REVERSE MORTGAGE"
26,CurrentSecondPositionMortgageType,121,ASSUMPTION
26,CurrentSecondPositionMortgageType,122,BALLOON
26,CurrentSecondPositionMortgageType,123,"ARM (ADJUSTABLE RATE MORTGAGE)"
26,CurrentSecondPositionMortgageType,124,"CLOSED END MORTGAGE"
26,CurrentSecondPositionMortgageType,125,"SELLER TAKE-BACK"
26,CurrentSecondPositionMortgageType,126,"STAND ALONE FIRST"
26,CurrentSecondPositionMortgageType,127,"STAND ALONE REFI"
26,CurrentSecondPositionMortgageType,128,"STAND ALONE SECOND"
26,CurrentSecondPositionMortgageType,130,"SECOND MORTGAGE TO COVER DOWN PYMT"
26,CurrentSecondPositionMortgageType,131,"LAND CONTRACT (ARGMT OF SALE)"
26,CurrentSecondPositionMortgageType,132,"LOAN MODIFICATION"
26,CurrentSecondPositionMortgageType,133,"SMALL BUSINESS ASSOC"
26,CurrentSecondPositionMortgageType,135,"NEGATIVE AMORTIZATION"
31,CurrentThirdPositionOpenLoanType,NULL,Unknown
31,CurrentThirdPositionOpenLoanType,p,Purchase
31,CurrentThirdPositionOpenLoanType,R,Refinance
31,CurrentThirdPositionOpenLoanType,E,Equity
34,CurrentThirdPositionOpenLoanLenderInfoEntityClassification,n/a,"No Longer Supported"
35,CurrentThirdPositionOpenLoanInterestRateType,0,UNKNOWN
35,CurrentThirdPositionOpenLoanInterestRateType,1,"ADJUSTABLE RATE"
35,CurrentThirdPositionOpenLoanInterestRateType,2,"FIXED RATE"
37,CurrentThirdPositionMortgageType,3,"BUILDING OR CONSTRUCTION"
37,CurrentThirdPositionMortgageType,6,"LINE OF CREDIT"
37,CurrentThirdPositionMortgageType,8,FHA
37,CurrentThirdPositionMortgageType,10,CONVENTIONAL
37,CurrentThirdPositionMortgageType,11,"CONVENTIONAL WITH PMI"
37,CurrentThirdPositionMortgageType,16,"VETERANS ADMINISTRATION"
37,CurrentThirdPositionMortgageType,101,"USDA - US DEPT OF AGRICULTURE"
37,CurrentThirdPositionMortgageType,102,"FARMERS HOME ADMINISTRATION"
37,CurrentThirdPositionMortgageType,103,COMMERCIAL
37,CurrentThirdPositionMortgageType,104,"STATE VETERANS"
37,CurrentThirdPositionMortgageType,105,"REVERSE MORTGAGE"
37,CurrentThirdPositionMortgageType,121,ASSUMPTION
37,CurrentThirdPositionMortgageType,122,BALLOON
37,CurrentThirdPositionMortgageType,123,"ARM (ADJUSTABLE RATE MORTGAGE)"
37,CurrentThirdPositionMortgageType,124,"CLOSED END MORTGAGE"
37,CurrentThirdPositionMortgageType,125,"SELLER TAKE-BACK"
37,CurrentThirdPositionMortgageType,126,"STAND ALONE FIRST"
37,CurrentThirdPositionMortgageType,127,"STAND ALONE REFI"
37,CurrentThirdPositionMortgageType,128,"STAND ALONE SECOND"
37,CurrentThirdPositionMortgageType,130,"SECOND MORTGAGE TO COVER DOWN PYMT"
37,CurrentThirdPositionMortgageType,131,"LAND CONTRACT (ARGMT OF SALE)"
37,CurrentThirdPositionMortgageType,132,"LOAN MODIFICATION"
37,CurrentThirdPositionMortgageType,133,"SMALL BUSINESS ASSOC"
37,CurrentThirdPositionMortgageType,135,"NEGATIVE AMORTIZATION"
