"RT Standard Field Name","Field Definition","Field Data Type","Field Size","Acceptable Value","Value Definition"
LoanTypeDescription,,,,"New Conventional",
LoanTypeDescription,,,,"Seller take-back",
LoanTypeDescription,,,,"Stand Alone First",
LoanTypeDescription,,,,"Stand Alone Refi",
LoanTypeDescription,,,,"Stand Alone Second",
LoanTypeDescription,,,,Unknown,
LoanTypeDescription,,,,"Veterans Administration Loan",
LoanTypeDescription,,,,"Home Equity Line of Credit (HELOC)",
LoanTypeDescription,,,,"Refi – Assignment",
LoanTypeDescription,,,,(blank),Unknown
NewLoan1Amount,,int,,,
NewLoan2Amount,,int,,,
NewLoanDocumentNumber,,varchar,50,,
NewLoanInterestRate,,decimal,"5,3",,
CreateDate,"The date of subject property record creation for this document",date,,,
LastUpdated,"The date when the record data was last updated",date,,,
PublicationDate,"The date when the record data was included for publication",date,,,
ProcessIndicator,"An indicator for suggested record processing",char,1,I,"New record to be inserted"
ProcessIndicator,,char,,U,"Existing record to be updated"
InMedianRange,"An indicator for whether the sale price is within 2 standard deviation of the median price in the subject property's zip at the time of sale",bit,,1,Yes
InMedianRange,,,,(blank),No
ForeclosureAuctionSale,"An indicator for whether the transaction was a foreclosure auction sale",bit,,1,Yes
ForeclosureAuctionSale,,,,(blank),No
InvestorBulkBuy,"An Indicator for whether the transaction was from a non-lending entity with more than 10 purchases in 12 months",bit,,1,Yes
InvestorBulkBuy,,,,(blank),No
AbsentOwner,"An indicator for whether the buyer is not the occupant of the property (derived from tax mailing address)",bit,,1,Yes
AbsentOwner,,,,(blank),No
DistressCircumstanceDescription,"A descriptor for whether the sale was related to a foreclosure action",varchar,50,"not provided",
DistressCircumstanceDescription,,,,"Foreclosure NOD Record",
DistressCircumstanceDescription,,,,"Foreclosure NOT Record",
DistressCircumstanceDescription,,,,"REO Record with Doc Type='U'",
DistressCircumstanceDescription,,,,"REO Record derived from Keywords",
DistressCircumstanceDescription,,,,"REO Transfer to Guarantor",
DistressCircumstanceDescription,,,,"Loan Record",
DistressCircumstanceDescription,,,,"Sale Record -  REO Liquidation",
DistressCircumstanceDescription,,,,"Sale Record - Foreclosure Auction",
DistressCircumstanceDescription,,,,"Sale Record - Inferred Short Sale",
DistressCircumstanceDescription,,,,"Sale Record - Ownership Transfer",
DistressCircumstanceDescription,,,,"non distress transaction",
DistressCircumstanceDescription,,,,(blank),Unknown
SaleTermsDescription,"A descriptor for whether the sale was with cash or cash to new financing",varchar,100,"100% financed",
SaleTermsDescription,,,,Cash,
SaleTermsDescription,,,,"Cash to new loan",
SaleTermsDescription,,,,"Loan Unknown Amount",
SaleTermsDescription,,,,(blank),Unknown
SaleTypeDescription,"A descriptor of the type of transaction sales",varchar,100,"Existing Structure",
SaleTypeDescription,,,,"New Structure",
SaleTypeDescription,,,,Timeshare,
SaleTypeDescription,,,,Unknown,
SaleTypeDescription,,,,(blank),Unknown
TransferTypeDescription,"A descriptor of the type of transaction transfer ",varchar,100,"Construction Sale",
TransferTypeDescription,,,,"Transfer to Lender",
TransferTypeDescription,,,,Mortgage,
TransferTypeDescription,,,,Transfer,
TransferTypeDescription,,,,"Subdivision Related Transfer",
TransferTypeDescription,,,,"Timeshare Transfer",
TransferTypeDescription,,,,(blank),Unknown
RTUniqueFCIdentifier,"A reference to foreclosure document in case of transfers to REO or third party. (To be linked to the foreclosure record layout)",int,,,
RTUniqueREOSaleIdentifier,"RealtyTrac Document ID of the REO sale record when transfer from REO to third party.",int,,,
AVMatDocRecordingDate,"The estimated market value of the property at time of doc recording",int,,,
