CATEGORY,LINEOFBUS,,,
SHOPPING ,ACCESSORIES ,,,
SHOPPING,APPLIANCES AND ELECTRONICS ,,,
SHOPPING,ART AND MUSEUMS ,,,
SHOPPING ,ARTS AND CRAFTS ,,,
SHOPPING,BATHROOM FIXTURES AND ACCESSORIES,,,
SHOPPING ,BEDDING ,,,
SHOPPING ,BEVERAGES ,,,
SHOPPING ,CLOTHING AND ACCESSORIES ,,,
SHOPPING,COLLECTIBLES ,,,
SHOPPING,DEPARTMENT STORES ,,,
SHOPPING ,DRAPERY AND CURTAIN FIXTURES ,,,
SHOPPING,EYEWARE AND EYECARE ,,,
SHOPPING,FACTORY OUTLETS ,,,
SHOPPING ,FLOOR AND CARPET ,,,
SHOPPING ,FURNITURE STORES ,,,
SHOPPING ,HOME AND GARDEN ,,,
SHOPPING ,HOUSEWARES AND FURNISHINGS ,,,
SHOPPING,JEWELRY ,,,
SHOPPING,LIGHTING ,,,
SHOPPING,MISC SERVICES ,,,
SHOPPING ,MISC SHOPPING ,,,
SHOPPING ,MUSICAL INSTRUMENTS ,,,
SHOPPING ,OUTDOOR FURNITURE ,,,
SHOPPING,PET SHOPS ,,,
SHOPPING ,PHARMACIES ,,,
SHOPPING ,RETAIL SHOPS AND MARKETS ,,,
SHOPPING ,SHOES - FOOTWEAR ,,,
SHOPPING ,SHOPPING CENTERS AND MALLS ,,,
SHOPPING ,SPORTING GOODS ,,,
SHOPPING ,UTILITIES AND SERVICES ,,,
SHOPPING,WEDDINGS ,,,
TRAVEL,AIR TRAVEL ,,,
TRAVEL ,TAXI AND LIMO SERVICE ,,,
TRAVEL,TOURIST INFORMATION ,,,
TRAVEL ,TRANSPORTATION ,,,
TRAVEL,TRAVEL SERVICES ,,,
