[ATTOM ID],TaxAssessedValueTotal,TaxMarketValueTotal,diffCol
299939220,19320,140500,14.0
299939256,15430,107120,14.0
299940203,16460,86640,19.0
299939809,19180,108600,18.0
299939792,7530,39620,19.0
299939367,22770,131040,17.0
299939380,23510,155630,15.0
299940607,7930,42540,19.0
299931716,13960,73480,19.0
299929071,49910,358090,14.0
299929034,10130,67120,15.0
299931836,13790,91410,15.0
299929158,15560,113840,14.0
299934517,26260,138210,19.0
299934519,12780,67270,19.0
299934220,9520,50110,19.0
299934564,12850,67650,19.0
299934428,7240,38090,19.0
299934560,6340,33400,19.0
299934451,23300,122600,19.0
299934269,10760,56620,19.0
299934219,13550,71300,19.0
299934273,7870,41410,19.0
299934272,13540,71230,19.0
299934402,25770,135630,19.0
299934242,15300,80530,19.0
299933996,28450,149740,19.0
299933919,12210,38150,32.0
299935967,6020,31700,19.0
299935895,13860,72940,19.0
299936015,7050,37110,19.0
299936236,10980,57790,19.0
299933750,5560,29290,19.0
299933978,12870,67780,19.0
299936121,16240,85450,19.0
299935896,16270,85620,19.0
299934005,9530,50190,19.0
299933747,6080,31970,19.0
299935978,16000,84210,19.0
299936017,21460,112950,19.0
299933932,12850,67660,19.0
299933746,9050,47670,19.0
299933946,11550,60800,19.0
299936241,33030,173840,19.0
299936049,16080,84620,19.0
299935979,13430,57620,23.0
299933971,11100,58440,19.0
299933947,12620,66410,19.0
299936091,18500,97380,19.0
299933959,9130,48080,19.0
299935942,20740,109130,19.0
299936240,5430,28600,19.0
299933749,29740,156560,19.0
299936366,182640,961270,19.0
299935986,18920,99610,19.0
299933999,6270,33010,19.0
299937574,3760,19750,19.0
299937549,4460,23490,19.0
299937573,7250,38150,19.0
299937687,8220,43280,19.0
299928589,5120,26940,19.0
299928828,7170,37710,19.0
299929707,1600,8450,19.0
299928974,17590,92610,19.0
299928656,7460,39300,19.0
299928793,16610,87420,19.0
299929750,2530,13350,19.0
299928773,6660,35070,19.0
299933362,11490,60500,19.0
299933436,24180,127260,19.0
299933265,14650,77140,19.0
299933246,30940,163820,19.0
299933310,23450,123430,19.0
299933269,16380,86190,19.0
299933379,23620,124350,19.0
299932646,1810,9550,19.0
299932710,30210,251740,12.0
299933109,9240,48620,19.0
299933113,4560,24000,19.0
299933153,42980,226240,19.0
299935887,140660,440540,32.0
299936692,72370,382820,19.0
299936751,7000,36860,19.0
299936933,29980,246880,12.0
299936999,5290,38240,14.0
299937028,16640,87570,19.0
299937052,38360,119880,32.0
299937175,15830,49470,32.0
299937176,23720,79760,30.0
299937179,6880,21480,32.0
299937294,1310,10910,12.0
299937343,9300,74570,12.0
299937383,5790,48180,12.0
299937386,8560,71360,12.0
299937428,1380,11460,12.0
299937774,10050,83740,12.0
299937777,3730,27920,13.0
299937784,11890,99080,12.0
299937827,4640,14500,32.0
299937858,10070,83930,12.0
299937880,3880,32360,12.0
299937909,1380,8940,15.0
299937955,1710,14270,12.0
299938005,33080,272790,12.0
299938168,2200,11590,19.0
299938203,390,2040,19.0
299938249,34960,232050,15.0
299938259,19910,151000,13.0
299938278,76450,238930,32.0
299938561,16560,87180,19.0
299938617,20,190,11.0
299938773,29130,169520,17.0
299938810,2070,10890,19.0
299938819,1560,8230,19.0
299938894,5290,41630,13.0
299938922,7080,58960,12.0
299939025,5970,49790,12.0
299939026,1590,13230,12.0
299939117,2870,21260,13.0
299939202,31050,255810,12.0
299939271,7470,62260,12.0
299939360,10670,86110,12.0
299939712,5340,42170,13.0
299939740,4860,40520,12.0
299939760,13870,100860,14.0
299939768,13800,112660,12.0
299939776,10160,69540,15.0
299939796,4880,38350,13.0
299939877,20180,146250,14.0
299939895,4520,37670,12.0
299939904,21710,178890,12.0
299939925,65490,545760,12.0
299939926,4890,38440,13.0
299940283,4440,36990,12.0
299940356,7400,59080,13.0
299940428,9160,76320,12.0
299940460,23250,148030,16.0
299940467,14110,91170,15.0
299931315,30,210,14.0
299931573,5980,49850,12.0
299931574,11500,95870,12.0
299931581,2460,20520,12.0
299931582,1030,8570,12.0
299931584,4540,37810,12.0
299931586,1410,11800,12.0
299931587,7360,61300,12.0
299931592,4960,41300,12.0
299931594,1260,10500,12.0
299931601,3730,31070,12.0
299931602,140,1150,12.0
299931603,1850,15380,12.0
299931609,6470,53940,12.0
299931610,3070,25600,12.0
299931611,8420,70170,12.0
299931613,3920,32690,12.0
299931615,2460,20520,12.0
299931617,8080,67300,12.0
299931619,1360,4250,32.0
299931621,4510,37590,12.0
299931624,3380,28170,12.0
299931626,15200,126650,12.0
299931628,2550,21210,12.0
299931629,4740,39470,12.0
299931661,10740,89500,12.0
299931665,2160,18000,12.0
299931666,2970,24730,12.0
299931668,2080,17310,12.0
299931670,4530,33190,14.0
299931673,3950,32920,12.0
299931684,1910,15890,12.0
299931685,4770,39750,12.0
299931693,4500,37490,12.0
299931694,5460,45490,12.0
299931695,950,7940,12.0
299931700,26220,218520,12.0
299931701,5220,43520,12.0
299931702,1750,14600,12.0
299931704,2130,17770,12.0
299931708,450,3780,12.0
299931709,7870,65600,12.0
299931710,38000,316660,12.0
299931715,7770,64740,12.0
299931726,3470,28900,12.0
299931727,150,1280,12.0
299931729,3560,29660,12.0
299931737,2560,21330,12.0
299931739,420,3530,12.0
299931740,1530,12750,12.0
299931742,12120,100970,12.0
299931743,1730,14380,12.0
299931745,1710,14270,12.0
299931747,450,3780,12.0
299931748,14950,124590,12.0
299931749,3390,28250,12.0
299931753,2580,21540,12.0
299931754,7700,64200,12.0
299931755,210,1740,12.0
299931758,12820,106870,12.0
311348561,4920,41010,12.0
311348663,5430,45320,12.0
311348664,13560,113010,12.0
325022709,100,860,12.0
326078863,4590,38280,12.0
326078906,6540,54570,12.0
326078907,3630,30210,12.0
331025791,70,610,11.0
331025806,50,450,11.0
299929202,10650,88730,12.0
299929203,6820,56820,12.0
299929204,60,470,13.0
299929240,11570,86740,13.0
299929246,5640,47010,12.0
299929247,6600,55020,12.0
299929249,12160,101370,12.0
299929250,8450,70390,12.0
299929289,3860,32140,12.0
299929290,3690,30790,12.0
299929291,8780,73160,12.0
299929306,2620,19200,14.0
299929307,11190,93250,12.0
299929308,1080,9020,12.0
299929309,2850,23710,12.0
299929310,1270,10610,12.0
299929312,610,5120,12.0
299929313,4810,40010,12.0
299929314,7080,58960,12.0
299929315,11940,95900,12.0
299929316,1000,8340,12.0
299929325,9270,77220,12.0
299929327,2420,20150,12.0
299929328,7400,61650,12.0
299929329,80,650,12.0
299929330,8990,74960,12.0
299929331,1300,10840,12.0
299929342,3810,31710,12.0
299929344,3230,26950,12.0
299929346,5580,46480,12.0
299929350,7880,65640,12.0
299929352,6630,55280,12.0
299929372,11690,97440,12.0
299929376,3870,32210,12.0
299929377,14530,121040,12.0
299929392,22190,184900,12.0
299929538,1920,13620,14.0
299929539,1320,11030,12.0
299929540,2160,18010,12.0
299929913,10010,83430,12.0
299929919,12600,105010,12.0
299929920,10650,88750,12.0
311348182,2000,16650,12.0
311348579,15690,117880,13.0
311348666,9370,78120,12.0
311348667,2190,18210,12.0
311348668,5660,47170,12.0
311348669,2760,23040,12.0
311348707,5040,42040,12.0
311348709,4290,35760,12.0
311348710,3520,29350,12.0
311348712,4800,39970,12.0
311348722,2320,19310,12.0
311348828,2170,18110,12.0
311348829,10890,90790,12.0
311348831,5160,43000,12.0
311348256,540,4460,12.0
311348549,470,3930,12.0
311348595,13360,41760,32.0
311348604,9260,77200,12.0
325022804,7520,62630,12.0
331025792,1939110,6059720,32.0
331025799,1510,12600,12.0
331025802,3980,33140,12.0
331025803,2240,18640,12.0
331025805,2180,18190,12.0
299938726,47740,149190,32.0
311348210,5760,30290,19.0
299929101,1530,12740,12.0
299929109,3710,30930,12.0
299929141,5790,48240,12.0
299929142,2360,19680,12.0
299929196,3780,31490,12.0
299929938,9100,75850,12.0
299929941,1760,14690,12.0
299929943,3090,25760,12.0
299929965,2450,20450,12.0
299930004,3330,27750,12.0
299930005,4480,37340,12.0
299930006,3590,29920,12.0
299930008,7370,61390,12.0
299930011,11850,98790,12.0
299930012,570,3000,19.0
299930013,3770,31400,12.0
299930048,3720,30980,12.0
299930049,3360,27990,12.0
299930051,13920,116010,12.0
299930052,2650,22060,12.0
299930053,10570,88060,12.0
299930060,3590,29870,12.0
299930111,1420,11800,12.0
299930113,2340,19540,12.0
299930115,4490,37390,12.0
299930140,4030,33580,12.0
299930142,1250,10430,12.0
299930143,5330,44450,12.0
299930144,1570,13110,12.0
299930145,3210,26720,12.0
299930167,3420,28510,12.0
299930169,19990,166530,12.0
299930170,1540,12830,12.0
299930171,15470,128860,12.0
299930172,1600,13360,12.0
299930174,16680,138970,12.0
299930175,3480,29010,12.0
299930176,2500,20820,12.0
299930177,5210,43400,12.0
299930178,4430,36940,12.0
299930441,2110,17520,12.0
299930442,4420,36910,12.0
299930454,3880,32370,12.0
299930457,3610,30120,12.0
299930458,3990,33260,12.0
299930459,2000,16640,12.0
299930461,3540,29530,12.0
299930462,6600,55010,12.0
299930722,200,1700,12.0
299930824,1670,13880,12.0
299930825,1480,12300,12.0
299937384,2140,17800,12.0
299937385,4380,36520,12.0
299937403,3690,30780,12.0
299937771,1420,11850,12.0
299937772,3660,30530,12.0
299941513,4120,34320,12.0
311348159,1870,15600,12.0
311348488,3880,32300,12.0
311348489,3900,32480,12.0
311348493,6880,57370,12.0
311348622,2230,18600,12.0
325022681,1790,14900,12.0
325022684,4180,34800,12.0
325022777,80,650,12.0
329014731,270,2250,12.0
329014767,50,440,11.0
330916484,1730,14420,12.0
331025684,780,6520,12.0
331025782,1670,13940,12.0
331025787,1450,12070,12.0
331025809,1500,12500,12.0
331025811,2290,19050,12.0
299940905,4990,41580,12.0
299940906,7240,60310,12.0
299940911,1910,15980,12.0
299940913,1690,14120,12.0
299940914,1330,11050,12.0
299940915,1020,8530,12.0
299940917,3420,28500,12.0
299940918,7910,65900,12.0
299940931,2130,17790,12.0
299940934,5440,45370,12.0
299940935,11440,95340,12.0
299940939,2090,17390,12.0
299940941,5960,49630,12.0
299940942,5320,44370,12.0
299941121,3500,29140,12.0
299941124,4170,34800,12.0
299941382,4340,36140,12.0
299941385,2690,22380,12.0
299941387,4620,38490,12.0
299941391,4180,34850,12.0
299941393,3040,25360,12.0
311348625,6660,55500,12.0
325022825,1380,11490,12.0
326078919,3040,25360,12.0
299929318,1020,8530,12.0
299929319,6480,53990,12.0
299929320,420,3510,12.0
299929333,2330,19430,12.0
299929334,4160,34660,12.0
299929335,18190,148960,12.0
299929336,4330,36110,12.0
299929338,4770,39750,12.0
299929339,1230,10220,12.0
299929340,5370,44710,12.0
299929355,4910,40950,12.0
299929358,4190,34920,12.0
299929359,4100,34180,12.0
299929360,7520,62660,12.0
299929362,6110,50970,12.0
299929363,4150,34570,12.0
299929364,3930,32730,12.0
299929365,3660,30470,12.0
299929444,3480,29040,12.0
299929446,8100,67470,12.0
299929447,6180,51510,12.0
299929449,8410,70060,12.0
299929450,4420,36800,12.0
299929453,19690,164120,12.0
299929454,12460,79910,16.0
299929455,2170,18120,12.0
299929456,1760,14640,12.0
322445590,646,3400,19.0
322445516,8455,44500,19.0
299492133,164448,513900,32.0
299490624,1068,8900,12.0
299490671,2160,18000,12.0
299491918,4032,33600,12.0
299495195,624,5200,12.0
299495201,864,7200,12.0
299495481,1800,15000,12.0
299495586,252,2100,12.0
299488970,444,3700,12.0
299491949,672,5600,12.0
299489950,2472,20600,12.0
299498223,288,2400,12.0
299495742,42,220,19.0
299496987,1164,9700,12.0
299489551,324,2700,12.0
299487851,1468,11900,12.0
299494601,7629,40150,19.0
299491422,8784,27450,32.0
299491723,1651,8690,19.0
299493004,23200,72500,32.0
299491192,24537,129140,19.0
299491247,7942,41800,19.0
299491567,14170,74580,19.0
299491589,3909,20570,19.0
299491083,26021,136950,19.0
299491708,19040,100210,19.0
299486590,3261,17160,19.0
299485781,11725,61710,19.0
325810270,59439,324560,18.0
299494342,26920,141680,19.0
299496241,29388,156480,19.0
299496935,10450,55000,19.0
299488445,14743,98410,15.0
299488493,21379,115470,19.0
299492845,9468,49830,19.0
299486534,15801,83160,19.0
299489958,35054,196285,18.0
299488898,3456,28800,12.0
299488966,444,3700,12.0
299490040,1524,12700,12.0
299488446,2204,17080,13.0
299488448,29673,157060,19.0
299488449,31797,174760,18.0
299488450,16268,86800,19.0
299488487,25575,137920,19.0
299488489,30398,169640,18.0
299488490,22840,121870,19.0
299488504,30158,162890,19.0
299489201,17634,97160,18.0
299491145,17472,91960,19.0
299491619,5873,30910,19.0
299497172,15810,83210,19.0
299497534,3261,17160,19.0
299497832,662,3487,19.0
299492212,4033,21230,19.0
299490245,97501,304690,32.0
299490246,88757,377870,23.0
299490250,9108,75900,12.0
299490487,780,6500,12.0
299490851,5160,43000,12.0
330075551,25640,141277,18.0
299495073,600,5000,12.0
299490042,756,6300,12.0
299488484,3564,29700,12.0
299490329,1464,12200,12.0
327440024,2965,24710,12.0
299490032,624,5200,12.0
299489516,1812,15100,12.0
299490703,240,2000,12.0
299488987,2172,18100,12.0
299494259,3156,26300,12.0
299488015,4416,36800,12.0
299488044,5544,46200,12.0
299489612,1344,11200,12.0
299489614,1236,10300,12.0
299490343,9360,78000,12.0
299490443,4812,40100,12.0
299490446,3036,25300,12.0
299490502,5484,45700,12.0
299490517,5676,47300,12.0
299490769,10080,84000,12.0
299490946,1440,12000,12.0
299491813,9840,82000,12.0
299496486,7043,37070,19.0
299496487,22003,68760,32.0
299496978,17488,93922,19.0
330075552,62090,329120,19.0
299496776,1416,11800,12.0
299496795,240,2000,12.0
299496797,240,2000,12.0
299487636,1608,13400,12.0
299487854,1290,10750,12.0
330075525,1007,8390,12.0
330075526,852,7100,12.0
299489603,4212,35100,12.0
299489608,1548,12900,12.0
299489609,1548,12900,12.0
299489610,816,6800,12.0
299489611,5120,16000,32.0
299489889,10976,60300,18.0
299489937,2749,22910,12.0
299490105,2508,20900,12.0
299489553,22343,149170,15.0
299498650,164070,512719,32.0
299498651,356245,1113266,32.0
299498652,44357,138616,32.0
299498653,140249,438279,32.0
299498654,965,3017,32.0
299498655,646344,2019825,32.0
299498656,411946,1287332,32.0
299498657,91959,287372,32.0
299498658,76682,239630,32.0
299498659,41534,129795,32.0
299498660,39584,123699,32.0
299498661,998802,3121256,32.0
299487388,25360,133474,19.0
299492545,45190,237842,19.0
322445547,589,3100,19.0
322445551,760,4000,19.0
322445527,494,2600,19.0
322445528,475,2500,19.0
322445634,4212,35100,12.0
325810172,17771,95410,19.0
322445515,361,1900,19.0
322445517,361,1900,19.0
299489579,5688,47400,12.0
299498291,9662,80510,12.0
299494388,57026,300140,19.0
299496534,17386,54330,32.0
299494383,48181,253950,19.0
299494685,34427,181192,19.0
299490531,18264,152200,12.0
299490775,852,7100,12.0
299490930,10248,85400,12.0
299495351,972,8100,12.0
299495352,2652,22100,12.0
322445589,532,2800,19.0
299491785,5088,15900,32.0
299495705,741,3900,19.0
299495774,475,2500,19.0
299495780,361,1900,19.0
299495781,361,1900,19.0
299495788,437,2300,19.0
299495789,437,2300,19.0
299495809,475,2500,19.0
299495818,570,3000,19.0
299495837,627,3300,19.0
299495841,608,3200,19.0
299496043,475,2500,19.0
299496087,703,3700,19.0
299496134,513,2700,19.0
299496135,1216,6400,19.0
299496163,475,2500,19.0
299496175,950,5000,19.0
299497166,1045,5500,19.0
299497167,494,2600,19.0
299497168,494,2600,19.0
299497287,475,2500,19.0
299497288,475,2500,19.0
299497346,475,2500,19.0
299497347,475,2500,19.0
299497348,475,2500,19.0
299497566,418,2200,19.0
299497820,513,2700,19.0
299497869,893,4700,19.0
299497903,1045,5500,19.0
299497954,247,1300,19.0
299497955,323,1700,19.0
299497964,247,1300,19.0
322445518,494,2600,19.0
322445523,361,1900,19.0
322445524,494,2600,19.0
322445525,475,2500,19.0
322445529,475,2500,19.0
322445530,475,2500,19.0
322445531,494,2600,19.0
322445535,475,2500,19.0
299496899,6336,52800,12.0
299496902,4332,36100,12.0
299496914,2712,22600,12.0
325810259,1812,15100,12.0
299495327,4212,35100,12.0
299495369,5232,43600,12.0
299496352,36,300,12.0
299496979,2496,20800,12.0
299490410,1440,12000,12.0
299491848,9948,82900,12.0
327440014,1298,10820,12.0
330075539,2100,17500,12.0
330075564,5832,48600,12.0
299491849,4769,39740,12.0
330075558,180,1500,12.0
322445636,2040,17000,12.0
322445640,1020,8500,12.0
322445559,1292,6800,19.0
322445560,1178,6200,19.0
299494028,3788,31570,12.0
299488589,6033,38200,16.0
322445417,660,5500,12.0
299494337,2052,17100,12.0
299494338,2040,17000,12.0
299494382,2916,24300,12.0
299494673,2736,22800,12.0
322445486,372,3100,12.0
299487929,2184,18200,12.0
299487940,492,4100,12.0
299496703,1200,10000,12.0
299496705,84,700,12.0
299496741,16764,139700,12.0
299496778,240,2000,12.0
299493484,3444,28700,12.0
299493485,7008,58400,12.0
299494006,9684,80700,12.0
299494130,4164,34700,12.0
299495234,1032,8600,12.0
299495271,3528,29400,12.0
299489964,6300,52500,12.0
299489987,2100,17500,12.0
299489997,5892,49100,12.0
299490005,3228,26900,12.0
299490689,2376,19800,12.0
299490711,1152,9600,12.0
299491896,3048,25400,12.0
299492151,924,7700,12.0
299493351,2508,20900,12.0
299493355,7092,59100,12.0
299494943,11772,98100,12.0
299494948,2676,22300,12.0
299494950,3768,31400,12.0
299494951,3324,27700,12.0
299494955,648,5400,12.0
299494959,4908,40900,12.0
299494963,4092,34100,12.0
299494965,3864,32200,12.0
299494968,2424,20200,12.0
299494974,1308,10900,12.0
299494979,1212,10100,12.0
299494988,5556,46300,12.0
299494992,5712,47600,12.0
299495000,1476,12300,12.0
299495008,7298,60820,12.0
299495018,5513,45940,12.0
299495021,4584,38200,12.0
299495128,2400,20000,12.0
299495146,1315,10960,12.0
299495177,2052,17100,12.0
299495184,5040,42000,12.0
299495188,2676,22300,12.0
299495192,3060,25500,12.0
299495203,2076,17300,12.0
299495227,5640,47000,12.0
299495460,3888,32400,12.0
299495465,4116,34300,12.0
299495486,3648,30400,12.0
299495489,10944,91200,12.0
299495551,4080,34000,12.0
325810182,216,1800,12.0
299493432,382,3180,12.0
299489891,1944,16200,12.0
299489896,720,6000,12.0
299494218,336,2800,12.0
299488659,2856,23800,12.0
299489027,6864,57200,12.0
299487860,3792,31600,12.0
299488009,924,7700,12.0
299489159,8952,74600,12.0
299489160,5304,44200,12.0
299489162,8232,68600,12.0
299490035,13236,110300,12.0
299491996,4104,34200,12.0
325810208,312,2600,12.0
299494713,7097,37350,19.0
299490002,13313,75770,18.0
299494978,52690,290300,18.0
299488138,21828,181900,12.0
299489176,2232,18600,12.0
299489971,4524,37700,12.0
299490023,264,2200,12.0
299485914,17100,142500,12.0
299487875,3984,33200,12.0
299487885,3708,30900,12.0
299487886,3984,33200,12.0
299489585,780,6500,12.0
299489684,11860,69550,17.0
299489795,4248,35400,12.0
299489886,4080,34000,12.0
299490734,6372,53100,12.0
299491869,3000,25000,12.0
299494105,6444,53700,12.0
299494232,54361,320890,17.0
299495070,46830,258085,18.0
299498294,34715,182710,19.0
299494855,1536,12800,12.0
299488611,6840,57000,12.0
299488989,1692,11850,14.0
299489051,23928,199400,12.0
299489077,22536,187800,12.0
299489253,10512,87600,12.0
299489312,5160,43000,12.0
299489333,5436,45300,12.0
299489334,11604,96700,12.0
299498739,1280,4000,32.0
299498029,209,1100,19.0
299498048,380,2000,19.0
299498049,304,1600,19.0
322445621,323,1700,19.0
322445622,228,1200,19.0
322445623,380,2000,19.0
322445624,285,1500,19.0
322445625,209,1100,19.0
322445626,209,1100,19.0
322445627,209,1100,19.0
322445628,209,1100,19.0
322445629,209,1100,19.0
322445630,266,1400,19.0
322445631,361,1900,19.0
322445632,342,1800,19.0
322445633,418,2200,19.0
299496173,494,2600,19.0
322445504,1704,14200,12.0
322445554,475,2500,19.0
322445555,475,2500,19.0
322445573,2676,22300,12.0
322445596,304,1600,19.0
322445597,304,1600,19.0
322445598,209,1100,19.0
322445600,399,2100,19.0
322445602,285,1500,19.0
322445603,323,1700,19.0
322445604,209,1100,19.0
322445607,570,3000,19.0
299490451,1824,15200,12.0
299490452,1932,16100,12.0
299490453,1824,15200,12.0
299496286,513,2700,19.0
299497743,190,1000,19.0
299497990,228,1200,19.0
299497991,3990,21000,19.0
299497992,342,1800,19.0
299497993,266,1400,19.0
299498001,209,1100,19.0
299498002,209,1100,19.0
299498003,228,1200,19.0
299498004,304,1600,19.0
299498008,494,2600,19.0
299498015,209,1100,19.0
299498016,209,1100,19.0
299498017,209,1100,19.0
299498018,456,2400,19.0
299498020,209,1100,19.0
299498021,209,1100,19.0
299498024,209,1100,19.0
299498025,209,1100,19.0
299498026,209,1100,19.0
299498028,209,1100,19.0
299490508,9024,75200,12.0
299495301,10116,84300,12.0
299495338,5616,46800,12.0
299496809,9972,83100,12.0
299490710,828,6900,12.0
299490718,1704,14200,12.0
299488893,56320,300250,19.0
299488920,42023,261260,16.0
299488936,29843,166180,18.0
299488861,17376,144800,12.0
299488879,11484,95700,12.0
299488105,780,6500,12.0
299488107,15288,127400,12.0
299488113,3468,28900,12.0
299488066,2352,19600,12.0
299488060,4456,37130,12.0
299488141,32752,246430,13.0
299488152,432,3600,12.0
299488158,3864,32200,12.0
299488163,5616,46800,12.0
299488173,1452,12100,12.0
299488174,7800,65000,12.0
299488180,6000,50000,12.0
299488181,7740,64500,12.0
299488182,18300,152500,12.0
299489186,5160,43000,12.0
299489189,4284,35700,12.0
299489196,1992,16600,12.0
299489197,4620,38500,12.0
325810151,5736,47800,12.0
299488056,15636,97510,16.0
299490216,502,2640,19.0
299490217,1818,9570,19.0
299490218,3804,20020,19.0
299490219,1923,10120,19.0
299490221,2445,12870,19.0
299490222,418,2200,19.0
299490224,1986,10450,19.0
299490226,1484,7810,19.0
299490228,1338,7040,19.0
299490229,585,3080,19.0
299490234,485,2550,19.0
299490381,2160,18000,12.0
299490383,4044,33700,12.0
299490389,2052,17100,12.0
299490395,2532,21100,12.0
299490399,2916,24300,12.0
299490403,3108,25900,12.0
299490404,3624,30200,12.0
299490420,228,1900,12.0
299490426,228,1900,12.0
299490427,228,1900,12.0
299490472,5724,47700,12.0
299490488,2183,18190,12.0
299490492,9072,75600,12.0
299490496,2844,23700,12.0
299490507,2808,23400,12.0
299495062,29404,155460,19.0
299498349,38734,205740,19.0
299498354,32970,174780,19.0
299492839,13313,70070,19.0
299493072,12102,63690,19.0
299493185,21339,112310,19.0
299493277,22133,116490,19.0
299492373,11746,61820,19.0
299492394,9405,49500,19.0
299492571,12812,67430,19.0
299492992,10576,55660,19.0
299492658,21966,115610,19.0
299492092,21882,115170,19.0
299492182,16406,86350,19.0
299492210,3344,17600,19.0
299492274,6960,36630,19.0
299492281,16114,84810,19.0
299492291,4494,23650,19.0
299492300,11663,61380,19.0
299492307,3992,21010,19.0
299492320,7942,41800,19.0
299492331,18142,95480,19.0
299492339,16824,88550,19.0
299492363,9092,47850,19.0
299492375,9907,52140,19.0
299492381,10534,55440,19.0
299492382,8820,46420,19.0
299492383,3992,21010,19.0
299492385,13606,71610,19.0
299492386,10074,53020,19.0
299492389,18141,95480,19.0
299492390,12289,64680,19.0
299492392,4514,23760,19.0
299492398,17702,93170,19.0
299492410,11328,59620,19.0
299492415,11955,62920,19.0
299492418,11934,62810,19.0
299492420,6772,35640,19.0
299492425,10827,56980,19.0
299492427,14735,77550,19.0
299492428,13355,70290,19.0
299492429,11996,63140,19.0
299492431,9928,52250,19.0
299492562,17932,94380,19.0
299492572,5392,28380,19.0
299492573,14170,74580,19.0
299492574,20085,105710,19.0
299492578,13731,72270,19.0
299492579,18497,97350,19.0
299492718,12665,66660,19.0
299492724,13460,70840,19.0
299492753,3699,19470,19.0
299492775,12602,66330,19.0
299492777,7378,38830,19.0
299492783,6082,32010,19.0
299492798,4306,22660,19.0
299490855,27630,145420,19.0
299490856,27713,145860,19.0
299490857,27943,147070,19.0
299490858,26292,138380,19.0
299490864,25519,134310,19.0
299490865,24286,127820,19.0
299490869,26836,141240,19.0
299491121,19562,102960,19.0
299491123,23659,124520,19.0
299491129,20482,107800,19.0
299491131,24014,126390,19.0
299491135,20210,106370,19.0
299491139,17702,93170,19.0
299491146,24244,127600,19.0
299491154,23680,124630,19.0
299491156,30117,158510,19.0
299490062,125,660,19.0
299491087,25269,132990,19.0
299491690,19719,103785,19.0
299494532,27421,144320,19.0
299494533,27421,144320,19.0
299494448,44831,235950,19.0
299494473,27275,143550,19.0
299494474,26063,137170,19.0
299494487,24872,130900,19.0
